CLE_ABONNEMENT,DATE_ENTREE_LOCAL_ABONNEMENT,DATE_SOUSCRIPTION_ABONNEMENT,DATE_RESILIATION_ABONNEMENT
GN_1180180100000501,,,2003-09-16
GN_1180180100000506,2014-11-19,2014-11-25,2015-09-10
GN_1180180100000901,,,2003-02-21
GN_1180180100004301,,,1993-12-16
GN_1180180100012507,2004-11-19,2004-11-19,2007-01-01
GN_1180180100013604,2003-12-01,2003-12-15,2005-07-26
GN_1180180100013606,2007-06-01,2007-09-25,2007-07-01
GN_1180180100014402,1995-09-11,,1995-11-08
GN_1180180100015602,,,1992-05-18
GN_1180180100016304,2016-02-22,2016-02-23,2016-10-26
GN_1180180100016702,1996-05-01,,1998-01-06
GN_1180180100016703,1998-01-21,,2017-03-01
GN_1180180100020502,2015-01-01,2017-08-31,2018-05-28
GN_1180180100020801,,,1991-06-30
GN_1180180100020802,1991-09-17,,2014-10-16
GN_1180180100020803,2017-12-01,2017-12-20,2018-12-31
GN_1180180100021703,1993-01-01,,1994-12-12
GN_1180180100028201,,,2002-06-06
GN_1180180100029903,1997-01-24,,2000-06-15
GN_1180180100029904,2000-06-15,2000-06-15,2010-06-01
GN_1180180100030301,,,2010-09-08
GN_1180180100030601,,,1992-07-01
GN_1180180100031102,2010-02-24,2010-02-24,2011-01-13
GN_1180180100031504,2009-01-08,2009-01-08,2009-12-22
GN_1180180100041301,,,2014-01-10
GN_1180180100074005,2002-07-01,2002-07-01,2007-03-02
GN_1180180100075201,,,1991-06-11
GN_1180180100078903,2006-11-15,2006-12-26,2007-01-29
GN_1180180100084002,2007-10-01,2007-10-18,2009-11-19
GN_1180180100085002,1998-07-16,,2005-02-14
GN_1180180100085003,2005-01-01,2005-04-19,2014-08-07
GN_1180180100085203,2006-03-06,2006-03-03,2007-07-26
GN_1180180100085501,,,1999-06-09
GN_1180180100087201,,,1999-07-05
GN_1180180100088804,2006-06-23,2006-06-23,2006-07-25
GN_1180180100090001,,,2001-12-27
GN_1180180100091302,,,1994-01-05
GN_1180180100091504,2003-11-03,2003-11-03,2008-03-03
GN_1180180100094905,2000-11-07,2000-11-16,2001-02-16
GN_1180180100096105,2014-10-15,2014-12-01,2016-12-22
GN_1180180100099303,2007-01-01,2008-10-23,2010-02-12
GN_1180180100099903,2001-04-13,2001-05-21,2015-09-24
GN_1180180100100402,2003-11-01,2004-08-18,2004-10-26
GN_1180180100101301,,,1992-01-03
GN_1180180100101801,,,1992-01-03
GN_1180180100101802,1992-01-01,,2015-07-10
GN_1180180100102101,,,2013-11-28
GN_1180180100102801,,,2006-01-01
GN_1180180100103701,,,1989-01-01
GN_1180180100103702,,,2015-09-24
GN_1180180100107603,2009-08-26,2009-09-10,2018-04-24
GN_1180180100107703,2006-07-04,2006-06-30,2007-09-14
GN_1180180100107804,2012-12-19,2012-12-19,2014-03-15
GN_1180180100108006,2007-02-06,2007-02-07,2010-06-29
GN_1180180100108008,2013-04-05,2013-04-05,2016-06-03
GN_1180180100110306,2003-08-29,2003-08-29,2007-06-26
GN_1180180100110503,2001-06-15,2001-06-15,2003-07-30
GN_1180180100113303,2007-07-03,2007-07-03,2010-01-26
GN_1180180100113304,2009-12-29,2009-12-29,2015-04-02
GN_1180180100114402,1994-02-08,,1995-01-27
GN_1180180100115502,2001-01-01,2002-12-09,2015-09-24
GN_1180180100115801,,,1991-02-20
GN_1180180100116601,,,1996-08-22
GN_1180180100119904,2011-01-01,2011-02-01,
GN_1180180100121305,2006-10-16,2006-10-19,2010-09-06
GN_1180180100122104,2007-02-08,2007-02-06,2007-08-02
GN_1180180100122105,2007-08-02,2007-08-30,2008-10-29
GN_1180180100122106,2008-10-29,2008-10-29,2009-11-20
GN_1180180100122108,2011-12-15,2011-12-26,2012-08-09
GN_1180180100123002,2008-10-28,2008-10-28,2014-09-11
GN_1180180100126901,,,2007-04-03
GN_1180180100129701,,,1999-08-10
GN_1180180100130901,,,2006-09-27
GN_1180180100142102,1999-01-01,,2012-11-19
GN_1180180100142702,1992-06-01,,2006-08-03
GN_1180180100142704,2012-03-01,2012-06-25,2014-12-11
GN_1180180100145003,2007-02-08,2007-02-27,2007-05-07
GN_1180180100148401,,,2006-01-27
GN_1180180100150901,,,1991-12-07
GN_1180180100152005,2002-05-16,,
GN_1180180100152006,2001-01-01,2002-05-16,2014-07-22
GN_1180180100161103,2006-12-08,2007-02-23,2007-11-08
GN_1180180100161602,2006-03-20,2006-03-21,2007-07-11
GN_1180180100166302,1992-01-01,,1998-11-09
GN_1180180100166303,1998-11-09,,2013-12-23
GN_1180180100166604,1995-01-01,,1995-07-01
GN_1180180100173502,1994-07-01,,2005-03-01
GN_1180180100173601,,,1995-06-12
GN_1180180100173602,1995-06-12,,2012-12-31
GN_1180180100173803,1993-09-10,,1995-01-01
GN_1180180100176701,,,1989-11-10
GN_1180180100178501,,,2001-11-15
GN_1180180100191701,,,1990-05-29
GN_1180180100196902,1997-11-12,,2015-03-02
GN_1180180100198104,2011-06-24,2011-07-25,2013-10-29
GN_1180180100199401,,,1994-02-14
GN_1180180100199502,2001-05-01,2002-03-01,2004-09-15
GN_1180180100199601,,,1991-04-22
GN_1180180100199602,1991-04-22,,2012-01-25
GN_1180180100209201,,,1999-06-01
GN_1180180100217601,,,2006-06-06
GN_1180180100217602,2006-08-10,2006-08-10,2018-07-05
GN_1180180100217702,2000-01-31,2000-01-31,2017-03-27
GN_1180180100229802,2006-06-30,2006-06-30,2014-06-05
GN_1180180100234904,2007-01-09,2007-01-09,2008-08-27
GN_1180180100234905,2008-08-27,2008-08-28,2015-07-02
GN_1180180100235804,2005-12-29,2006-01-02,2010-03-31
GN_1180180100235805,2010-04-01,2010-04-01,2018-02-09
GN_1180180100236501,,,2016-09-29
GN_1180180100239901,,,2016-02-23
GN_1180180100242001,,,2019-05-21
GN_1180180100243203,1994-04-01,,1999-07-01
GN_1180180100244903,2011-01-18,2011-01-20,2016-06-01
GN_1180180100245004,2003-12-04,2003-12-04,2004-10-01
GN_1180180100245403,2001-01-15,2001-03-06,2003-03-18
GN_1180180100245604,2002-06-12,2002-06-28,2009-04-01
GN_1180180100249901,,,1992-05-13
GN_1180180100256203,2011-03-10,2011-03-15,
GN_1180180100269702,1995-07-01,,2007-04-12
GN_1180180100275707,2005-12-08,2005-12-09,2007-11-13
GN_1180180100275708,2009-04-15,2009-05-04,2016-09-21
GN_1180180100297602,2001-08-01,2001-07-30,2015-04-19
GN_1180180100308301,,,2000-03-31
GN_1180180100323101,,,2014-09-15
GN_1180180100327205,2007-11-02,2007-11-02,2007-12-28
GN_1180180100327207,2013-10-23,2013-10-23,2014-07-22
GN_1180180100335704,2007-11-05,2007-11-05,2009-07-01
GN_1180180100358201,,,1995-04-18
GN_1180180100360705,1999-03-01,,2008-05-13
GN_1180180100383401,,,2013-12-19
GN_1180180100384001,,,2015-09-24
GN_1180180100432204,2008-06-16,2008-06-16,2009-05-19
GN_1180180100432207,2011-07-15,2011-07-18,2012-09-04
GN_1180180100433701,,,1996-07-01
GN_1180180100488301,,,2019-02-21
GN_1180180100488302,2019-06-28,2019-06-27,2019-11-14
GN_1180180100491501,,,1991-10-01
GN_1180180100494202,2009-11-05,2009-11-06,2012-11-01
GN_1180180100509707,2007-12-01,2007-12-14,2009-04-17
GN_1180180100509805,2004-11-17,2005-02-04,2006-04-12
GN_1180180100511902,,,1994-07-01
GN_1180180100523101,,,2003-12-31
GN_1180180100523201,,,1995-12-06
GN_1180180100532502,2009-06-18,2009-06-18,
GN_1180180100537602,1997-07-01,,2005-12-29
GN_1180180100546101,,,1989-01-01
GN_1180180100555001,,,2004-03-31
GN_1180180100567802,,,1992-08-06
GN_1180180100568804,2008-03-19,2008-04-11,2010-08-19
GN_1180180100568805,2011-02-11,2011-02-11,2013-09-23
GN_1180180100569102,2003-12-18,2003-12-18,2004-06-15
GN_1180180100574101,,,1995-02-23
GN_1180180100575802,2004-06-18,2004-06-18,2004-07-21
GN_1180180100575803,2004-09-09,2004-09-27,2015-03-17
GN_1180180100583302,2004-07-09,2004-07-09,2012-06-01
GN_1180180100613301,,,1994-06-15
GN_1180180100613601,,,1994-06-15
GN_1180180100613801,,,1994-06-15
GN_1180180100614301,,,1994-06-15
GN_1180180100614701,,,1994-06-15
GN_1180180100615205,2011-11-30,2011-11-30,2018-09-20
GN_1180180100629001,,,1994-06-15
GN_1180180100632501,,,2008-11-14
GN_1180180100633201,,,1994-06-15
GN_1180180100633401,,,1994-06-15
GN_1180180100636301,,,1994-06-15
GN_1180180100636401,,,1994-06-15
GN_1180180100636501,,,1994-06-15
