CLE_ABONNEMENT,CLE_FACTURE,DATE_EMISSION_FACTURE,CONSO_FACTURE,DATE_RELEVE_INDEX_PRECEDENT_FACTURE_COMPOSITE,DATE_RELEVE_INDEX_FACTURE,NB_FACTURES_PAR_PDS,NB_JOURS_CONNUS,NUM_FAC_PAR_PDS
GN_0782301010021705,GN|0782301010021705|23563|1|00000,2023-12-21,156,2023-11-29,2023-11-30,6,1,4
GN_0742100100201901,GN|0742100100201901|24513|1|00000,2024-03-29,38199,2023-04-13,2024-03-13,1,335,1
GN_0742100100202001,GN|0742100100202001|23320|1|00000,2023-05-03,359,2022-04-05,2023-04-03,2,363,1
GN_0742100100202001,GN|0742100100202001|24320|1|00000,2024-04-24,290,2023-04-03,2024-04-09,2,372,2
GN_0742100100202604,GN|0742100100202604|24320|1|00000,2024-04-24,89,2023-04-04,2024-03-21,1,352,1
GN_0742100100202901,GN|0742100100202901|23320|1|00000,2023-05-03,293,2022-04-05,2023-04-03,2,363,1
GN_0742100100202901,GN|0742100100202901|24320|1|00000,2024-04-24,423,2023-04-03,2024-04-09,2,372,2
GN_0742100100203104,GN|0742100100203104|24320|1|00000,2024-04-24,40,2023-04-03,2024-04-05,1,368,1
GN_0742100100203801,GN|0742100100203801|23320|1|00000,2023-05-03,655,2022-04-05,2023-04-03,2,363,1
GN_0742100100203801,GN|0742100100203801|24320|1|00000,2024-04-24,679,2023-04-03,2024-04-09,2,372,2
GN_0742100100204805,GN|0742100100204805|23894|1|00000,2023-07-20,12,2023-04-04,2023-07-11,2,98,2
GN_0742100100204906,GN|0742100100204906|24320|1|00000,2024-04-24,9,2023-04-04,2024-03-25,2,356,2
GN_0742100100205114,GN|0742100100205114|23320|1|00000,2023-05-03,19,2022-01-17,2023-04-04,2,442,1
GN_0742100100205114,GN|0742100100205114|24294|1|00000,2024-02-15,29,2023-04-04,2024-02-05,2,307,2
GN_0742100100205701,GN|0742100100205701|23320|1|00000,2023-05-03,28,2022-04-06,2023-04-04,2,363,1
GN_0742100100205701,GN|0742100100205701|24320|1|00000,2024-04-24,473,2023-04-04,2024-04-09,2,371,2
GN_0742100100206101,GN|0742100100206101|23320|1|00000,2023-05-03,73,2022-04-06,2023-04-04,2,363,1
GN_0742100100206101,GN|0742100100206101|24320|1|00000,2024-04-24,0,2023-04-04,2024-04-09,2,371,2
GN_0742100100209902,GN|0742100100209902|24320|1|00000,2024-04-24,142,2023-04-05,2024-03-25,2,355,2
GN_0742100100214109,GN|0742100100214109|23320|1|00000,2023-05-03,0,2022-04-06,2023-04-04,2,363,1
GN_0742100100214109,GN|0742100100214109|24320|1|00000,2024-04-24,13,2023-04-04,2024-04-09,2,371,2
GN_0742100100214305,GN|0742100100214305|23320|1|00000,2023-05-03,77,2022-04-05,2023-04-05,2,365,1
GN_0742100100214305,GN|0742100100214305|24320|1|00000,2024-04-24,93,2023-04-05,2024-03-26,2,356,2
GN_0742100100214404,GN|0742100100214404|23494|1|00000,2023-03-20,314,2022-04-04,2023-03-06,3,336,1
GN_0742100100214405,GN|0742100100214405|23320|1|00000,2023-05-03,19,2023-03-06,2023-04-03,3,28,2
GN_0742100100214405,GN|0742100100214405|24320|1|00000,2024-04-24,305,2023-04-03,2024-03-27,3,359,3
GN_0742100100214501,GN|0742100100214501|23320|1|00000,2023-05-03,96,2022-03-25,2023-03-28,2,368,1
GN_0742100100214501,GN|0742100100214501|24320|1|00000,2024-04-24,106,2023-03-28,2024-03-27,2,365,2
GN_0742100100215204,GN|0742100100215204|24320|1|00000,2024-04-24,16,2023-04-03,2024-03-27,2,359,2
GN_0742100100215304,GN|0742100100215304|23320|1|00000,2023-05-03,129,2022-03-22,2023-04-04,2,378,1
GN_0742100100215304,GN|0742100100215304|24320|1|00000,2024-04-24,115,2023-04-04,2024-04-16,2,378,2
GN_0742100100215402,GN|0742100100215402|23320|1|00000,2023-05-03,29,2022-04-08,2023-04-03,2,360,1
GN_0742100100215402,GN|0742100100215402|24320|1|00000,2024-04-24,100,2023-04-03,2024-03-27,2,359,2
GN_0742100100215504,GN|0742100100215504|23320|1|00000,2023-05-03,11,2022-04-07,2023-04-08,2,366,1
GN_0742100100215504,GN|0742100100215504|24320|1|00000,2024-04-24,13,2023-04-08,2024-03-27,2,354,2
GN_0742100100215607,GN|0742100100215607|24320|1|00000,2024-04-24,30,2023-04-03,2024-03-27,2,359,2
GN_0742100100215801,GN|0742100100215801|23320|1|00000,2023-05-03,0,2022-04-08,2023-04-03,2,360,1
GN_0742100100215801,GN|0742100100215801|24320|1|00000,2024-04-24,0,2023-04-03,2024-03-27,2,359,2
GN_0742100100215904,GN|0742100100215904|24320|1|00000,2024-04-24,61,2023-04-03,2024-03-27,2,359,2
GN_0742100100216009,GN|0742100100216009|23320|1|00000,2023-05-03,271,2022-04-04,2023-04-10,2,371,1
GN_0742100100216009,GN|0742100100216009|24320|1|00000,2024-04-24,234,2023-04-10,2024-03-27,2,352,2
GN_0742100100216104,GN|0742100100216104|23320|1|00000,2023-05-03,212,2022-04-08,2023-04-11,2,368,1
GN_0742100100216104,GN|0742100100216104|24320|1|00000,2024-04-24,227,2023-04-11,2024-03-27,2,351,2
GN_0742100100217403,GN|0742100100217403|23320|1|00000,2023-05-03,102,2022-04-04,2023-03-31,2,361,1
GN_0742100100217403,GN|0742100100217403|24320|1|00000,2024-04-24,61,2023-03-31,2024-03-13,2,348,2
GN_0742100100217601,GN|0742100100217601|23320|1|00000,2023-05-03,17,2022-04-08,2023-04-03,2,360,1
GN_0742100100217601,GN|0742100100217601|24320|1|00000,2024-04-24,17,2023-04-03,2024-03-27,2,359,2
GN_0742100100217801,GN|0742100100217801|23320|1|00000,2023-05-03,60,2022-04-08,2023-04-03,2,360,1
GN_0742100100217801,GN|0742100100217801|24320|1|00000,2024-04-24,28,2023-04-03,2024-03-27,2,359,2
GN_0742100100217902,GN|0742100100217902|23320|1|00000,2023-05-03,9,2022-04-05,2023-03-28,2,357,1
GN_0742100100217902,GN|0742100100217902|24320|1|00000,2024-04-24,7,2023-03-28,2024-03-27,2,365,2
GN_0742100100218101,GN|0742100100218101|23320|1|00000,2023-05-03,462,2022-04-06,2023-04-04,2,363,1
GN_0742100100218101,GN|0742100100218101|24320|1|00000,2024-04-24,543,2023-04-04,2024-04-09,2,371,2
